"Technology";"p_year";"Country";"rca_ctry_tech"
"Chemistry";"1990";"Hungary";2,01855292688661
"Chemistry";"1990";"Belgium";1,3485803698194
"Chemistry";"1990";"Denmark";1,26195161461272
"Chemistry";"1990";"Israel";1,22023381018645
"Chemistry";"1990";"Italy";1,20387183183432
"Chemistry";"1990";"Luxembourg";1,16158496098551
"Chemistry";"1990";"Germany";1,13396525868393
"Chemistry";"1990";"South Africa";1,0752183208543
"Chemistry";"1990";"United States";1,06499795842118
"Chemistry";"1990";"United Kingdom";1,06260975133477
"Chemistry";"1990";"Spain";1,03025380334835
"Chemistry";"1990";"Switzerland";1,00907940199548
"Chemistry";"1990";"Canada";0,976324547039964
"Chemistry";"1990";"Austria";0,940594373996206
"Chemistry";"1990";"Ireland";0,905308517669026
"Chemistry";"1990";"France";0,903627025286986
"Chemistry";"1990";"Japan";0,861596020013192
"Chemistry";"1990";"Finland";0,8055799703751
"Chemistry";"1990";"Australia";0,804055203151145
"Chemistry";"1990";"Netherlands";0,729095389153479
"Chemistry";"1990";"Norway";0,725970196997975
"Chemistry";"1990";"Sweden";0,626615847093489
"Chemistry";"1990";"Andorra";0
"Chemistry";"1990";"United Arab Emirates";0
"Chemistry";"1990";"Argentina";0
"Chemistry";"1990";"Bulgaria";0
"Chemistry";"1990";"Bermuda";0
"Chemistry";"1990";"Brazil";0
"Chemistry";"1990";"Central African Republic";0
"Chemistry";"1990";"Chile";0
"Chemistry";"1990";"China";0
"Chemistry";"1990";"Colombia";0
"Chemistry";"1990";"Czechia";0
"Chemistry";"1990";"Egypt";0
"Chemistry";"1990";"Greece";0
"Chemistry";"1990";"Hong Kong SAR China";0
"Chemistry";"1990";"Indonesia";0
"Chemistry";"1990";"India";0
"Chemistry";"1990";"Iran";0
"Chemistry";"1990";"Iceland";0
"Chemistry";"1990";"Jordan";0
"Chemistry";"1990";"North Korea";0
"Chemistry";"1990";"South Korea";0
"Chemistry";"1990";"Kuwait";0
"Chemistry";"1990";"Liechtenstein";0
"Chemistry";"1990";"Sri Lanka";0
"Chemistry";"1990";"Monaco";0
"Chemistry";"1990";"Mexico";0
"Chemistry";"1990";"Malaysia";0
"Chemistry";"1990";"Norfolk Island";0
"Chemistry";"1990";"New Zealand";0
"Chemistry";"1990";"Poland";0
"Chemistry";"1990";"Portugal";0
"Chemistry";"1990";"Russia";0
"Chemistry";"1990";"Saudi Arabia";0
"Chemistry";"1990";"Singapore";0
"Chemistry";"1990";"Turkey";0
"Chemistry";"1990";"Taiwan";0
"Chemistry";"1990";"Ukraine";0
"Chemistry";"1991";"Hungary";2,15969461636296
"Chemistry";"1991";"Belgium";1,35638205998743
"Chemistry";"1991";"Denmark";1,30364840879099
"Chemistry";"1991";"Italy";1,18784560531632
"Chemistry";"1991";"Germany";1,14261587348722
"Chemistry";"1991";"Israel";1,13543388499736
"Chemistry";"1991";"South Africa";1,10511250651836
"Chemistry";"1991";"Spain";1,0984061469981
