"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model","conf_int"
"US",0.0338,0.00305439240266239,11.0821602779097,1.53132516034763e-28,0.028,0.04,"Overall",0.006
"US",0.0514,0.0158109664143228,3.24857166250173,0.00115985988806223,0.02,0.082,"Other fields",0.031
"US",0.0175,0.0107495679808205,1.62533521600068,0.104091151617901,-0.004,0.039,"Mechanical engineering",0.021
"US",0.0345,0.0040846064743314,8.45317996068721,2.83474235423577e-17,0.027,0.043,"Instruments",0.008
"US",0.0385,0.00570985419527387,6.74303802387139,1.55108594849705e-11,0.027,0.05,"Electrical engineering",0.011
"US",0.0216,0.00657958800734786,3.28782541559227,0.00100964429274307,0.009,0.035,"Chemistry",0.013
"SG",0.009,0.0107060823054699,0.836952618603029,0.402619201640892,-0.012,0.03,"Overall",0.021
"SE",-0.0046,0.00699256865988272,-0.654563813489382,0.512748628825578,-0.018,0.009,"Overall",0.014
"REST",-0.0053,0.00355120445797048,-1.47996579393579,0.138882375490882,-0.012,0.002,"Overall",0.007
"REST",-0.0296,0.015298633611487,-1.93241650463653,0.0533081185353309,-0.06,0,"Other fields",0.03
"REST",-0.0088,0.00888772764429818,-0.986663313766946,0.323807720499841,-0.026,0.009,"Mechanical engineering",0.017
"REST",-0.0037,0.00895318356596843,-0.408894625868053,0.682616993073374,-0.021,0.014,"Instruments",0.018
"REST",-0.0037,0.00820028533719487,-0.456926162417007,0.64772411853228,-0.02,0.012,"Electrical engineering",0.016
"REST",-0.0026,0.011479337209838,-0.224466842197492,0.82239406474281,-0.025,0.02,"Chemistry",0.022
"NO",-0.0075,0.0113704762597406,-0.657193674483286,0.511056392353204,-0.03,0.015,"Overall",0.022
"NL",-9e-04,0.00553604431276193,-0.168881629640722,0.865889749062512,-0.012,0.01,"Overall",0.011
"KR",0.0171,0.0136173088584564,1.25894119899877,0.208051571401526,-0.01,0.044,"Overall",0.027
"KR",-0.087,0.0537623439438599,-1.61823074671067,0.10561287899191,-0.192,0.018,"Other fields",0.105
"KR",-0.0116,0.0257488769861706,-0.452259665670571,0.651081929277113,-0.062,0.039,"Mechanical engineering",0.05
"KR",-0.0285,0.0286810708260673,-0.992153508290997,0.321122647793492,-0.085,0.028,"Instruments",0.056
"KR",0.0269,0.0208910337071927,1.28525190240317,0.198704271779507,-0.014,0.068,"Electrical engineering",0.041
"KR",0.0459,0.0105242712907419,4.36523476706702,1.26986300406814e-05,0.025,0.067,"Chemistry",0.021
"JP",0.0056,0.00761380363653976,0.739928050779021,0.459343652737012,-0.009,0.021,"Overall",0.015
"JP",0.0115,0.0218521384812968,0.525444229413518,0.599274413536258,-0.031,0.054,"Other fields",0.043
"JP",-0.0059,0.0105141148721097,-0.561377299737297,0.574540355642682,-0.027,0.015,"Mechanical engineering",0.021
"JP",0.0149,0.0198959951780652,0.748634861909062,0.454077313900578,-0.024,0.054,"Instruments",0.039
"JP",-8e-04,0.0110715260093493,-0.0690175047914952,0.944975685914869,-0.022,0.021,"Electrical engineering",0.022
"JP",0.0245,0.0154158485186054,1.58603429616744,0.112731529864406,-0.006,0.055,"Chemistry",0.03
"IT",-0.0081,0.00638853066568095,-1.2630748622642,0.20656227701173,-0.021,0.004,"Overall",0.013
"IT",-0.0028,0.02481404107946,-0.112932980081721,0.91008368925545,-0.051,0.046,"Other fields",0.049
"IT",-0.0176,0.00926196972543462,-1.90082789778472,0.0573245586749124,-0.036,0.001,"Mechanical engineering",0.018
"IT",-0.0066,0.0167107106884787,-0.392639824644406,0.694585521183825,-0.039,0.026,"Instruments",0.033
"IT",-0.0128,0.0130218748873209,-0.979340837716933,0.327411598761733,-0.038,0.013,"Electrical engineering",0.026
"IT",0.0035,0.00933057636237902,0.37838632079625,0.70514362855831,-0.015,0.022,"Chemistry",0.018
"IL",0.0177,0.0246608216786057,0.71720870089859,0.473245331349891,-0.031,0.066,"Overall",0.048
"IE",0.0134,0.00948219162330924,1.41681002537205,0.15653847779258,-0.005,0.032,"Overall",0.019
"GB",0.0272,0.00589625005346463,4.61800741932304,3.87442404025701e-06,0.016,0.039,"Overall",0.012
"GB",-0.0124,0.0164464843273963,-0.751348524331864,0.452442933270141,-0.045,0.02,"Other fields",0.032
"GB",0.0177,0.00799210154503063,2.21655252778696,0.0266536846349056,0.002,0.033,"Mechanical engineering",0.016
"GB",0.0323,0.00955536278283203,3.37594548837306,0.0007356249262798,0.014,0.051,"Instruments",0.019
"GB",0.0274,0.00966673264319614,2.8306637447704,0.00464515273593448,0.008,0.046,"Electrical engineering",0.019
"GB",0.0361,0.0138821492784574,2.6030596850432,0.00923958669999125,0.009,0.063,"Chemistry",0.027
"FR",-0.0026,0.00434442857587182,-0.599513936789374,0.54883021916874,-0.011,0.006,"Overall",0.009
"FR",-0.0139,0.0180021860312973,-0.771908256222251,0.440168767016016,-0.049,0.021,"Other fields",0.035
"FR",-0.0048,0.00384326486763514,-1.24584436081163,0.212821539962958,-0.012,0.003,"Mechanical engineering",0.008
"FR",0.0044,0.0163487555431895,0.270351097622691,0.786890158119867,-0.028,0.036,"Instruments",0.032
"FR",-0.012,0.0114969024049359,-1.04540139770052,0.295837490998086,-0.035,0.011,"Electrical engineering",0.023
"FR",0.0062,0.00937211148050441,0.666657491991761,0.504990936774972,-0.012,0.025,"Chemistry",0.018
"FI",0.0347,0.0248300726481415,1.39609736532847,0.16268517711442,-0.014,0.083,"Overall",0.049
"ES",-0.0112,0.00751689112337547,-1.48889882447545,0.13651401317058,-0.026,0.004,"Overall",0.015
"DK",0.0119,0.00915582022949799,1.29948054661068,0.193779065281576,-0.006,0.03,"Overall",0.018
